,x,y
0,7.163700000000002,7.0
1,7.185899999999998,7.2
2,7.097600000000001,6.24
3,6.486650000000001,7.68
4,6.63435,5.57
5,5.753700000000001,5.7
6,7.218299999999998,7.98
7,6.245500000000002,5.96
8,7.239599999999999,7.12
9,6.59445,6.5
10,7.081149999999997,7.98
11,6.239450000000001,5.4
12,6.951400000000004,7.0
13,6.856300000000004,7.2
14,5.91735,5.57
15,5.940000000000001,6.14
16,6.0310000000000015,5.12
17,6.881649999999999,6.6
18,7.198850000000002,7.66
19,6.7769,6.05
20,6.916300000000002,6.05
21,6.736750000000003,7.53
22,6.785550000000001,7.23
23,6.865300000000002,7.23
24,6.6308500000000015,6.5
25,6.72805,7.07
26,6.786500000000002,7.07
27,6.698850000000004,6.16
28,6.789400000000001,6.68
29,6.809049999999998,6.7
30,6.626500000000002,6.6
31,6.7086500000000004,6.6
32,6.808649999999999,6.92
33,6.8215999999999966,6.92
